term	gene
REGULATION_OF_BIOLOGICAL_QUALITY	PROK2
REGULATION_OF_BIOLOGICAL_QUALITY	NPPB
REGULATION_OF_BIOLOGICAL_QUALITY	NPPA
REGULATION_OF_BIOLOGICAL_QUALITY	CLDN16
REGULATION_OF_BIOLOGICAL_QUALITY	RAB3A
REGULATION_OF_BIOLOGICAL_QUALITY	AVPR2
REGULATION_OF_BIOLOGICAL_QUALITY	CCR1
REGULATION_OF_BIOLOGICAL_QUALITY	HPRT1
REGULATION_OF_BIOLOGICAL_QUALITY	GCGR
REGULATION_OF_BIOLOGICAL_QUALITY	GCH1
REGULATION_OF_BIOLOGICAL_QUALITY	BCL2
REGULATION_OF_BIOLOGICAL_QUALITY	AGT
REGULATION_OF_BIOLOGICAL_QUALITY	BCL6
REGULATION_OF_BIOLOGICAL_QUALITY	CD24
REGULATION_OF_BIOLOGICAL_QUALITY	HCLS1
REGULATION_OF_BIOLOGICAL_QUALITY	NLGN1
REGULATION_OF_BIOLOGICAL_QUALITY	ATP1A3
REGULATION_OF_BIOLOGICAL_QUALITY	ATP1A4
REGULATION_OF_BIOLOGICAL_QUALITY	NPR1
REGULATION_OF_BIOLOGICAL_QUALITY	ATP1A1
REGULATION_OF_BIOLOGICAL_QUALITY	BRS3
REGULATION_OF_BIOLOGICAL_QUALITY	NPR2
REGULATION_OF_BIOLOGICAL_QUALITY	ATP1A2
REGULATION_OF_BIOLOGICAL_QUALITY	SOD1
REGULATION_OF_BIOLOGICAL_QUALITY	CAPRIN2
REGULATION_OF_BIOLOGICAL_QUALITY	COG3
REGULATION_OF_BIOLOGICAL_QUALITY	YWHAG
REGULATION_OF_BIOLOGICAL_QUALITY	YWHAH
REGULATION_OF_BIOLOGICAL_QUALITY	NUPR1
REGULATION_OF_BIOLOGICAL_QUALITY	COG7
REGULATION_OF_BIOLOGICAL_QUALITY	CAPG
REGULATION_OF_BIOLOGICAL_QUALITY	APBB2
REGULATION_OF_BIOLOGICAL_QUALITY	APBB1
REGULATION_OF_BIOLOGICAL_QUALITY	SEPT5
REGULATION_OF_BIOLOGICAL_QUALITY	F2RL2
REGULATION_OF_BIOLOGICAL_QUALITY	F2RL3
REGULATION_OF_BIOLOGICAL_QUALITY	CASR
REGULATION_OF_BIOLOGICAL_QUALITY	SNCAIP
REGULATION_OF_BIOLOGICAL_QUALITY	F13A1
REGULATION_OF_BIOLOGICAL_QUALITY	SLC6A4
REGULATION_OF_BIOLOGICAL_QUALITY	F2RL1
REGULATION_OF_BIOLOGICAL_QUALITY	FOXO3
REGULATION_OF_BIOLOGICAL_QUALITY	MMRN1
REGULATION_OF_BIOLOGICAL_QUALITY	GDNF
REGULATION_OF_BIOLOGICAL_QUALITY	GP9
REGULATION_OF_BIOLOGICAL_QUALITY	SLC4A1
REGULATION_OF_BIOLOGICAL_QUALITY	ACIN1
REGULATION_OF_BIOLOGICAL_QUALITY	MTOR
REGULATION_OF_BIOLOGICAL_QUALITY	FGF20
REGULATION_OF_BIOLOGICAL_QUALITY	NEBL
REGULATION_OF_BIOLOGICAL_QUALITY	PLCE1
REGULATION_OF_BIOLOGICAL_QUALITY	GYLTL1B
REGULATION_OF_BIOLOGICAL_QUALITY	CARTPT
REGULATION_OF_BIOLOGICAL_QUALITY	GLP1R
REGULATION_OF_BIOLOGICAL_QUALITY	SRI
REGULATION_OF_BIOLOGICAL_QUALITY	CAV1
REGULATION_OF_BIOLOGICAL_QUALITY	DERL2
REGULATION_OF_BIOLOGICAL_QUALITY	GCLC
REGULATION_OF_BIOLOGICAL_QUALITY	DERL1
REGULATION_OF_BIOLOGICAL_QUALITY	ITGB3
REGULATION_OF_BIOLOGICAL_QUALITY	ATP6V1B1
REGULATION_OF_BIOLOGICAL_QUALITY	LMAN1
REGULATION_OF_BIOLOGICAL_QUALITY	GCLM
REGULATION_OF_BIOLOGICAL_QUALITY	FTH1
REGULATION_OF_BIOLOGICAL_QUALITY	SFTPD
REGULATION_OF_BIOLOGICAL_QUALITY	SLC30A5
REGULATION_OF_BIOLOGICAL_QUALITY	ENTPD1
REGULATION_OF_BIOLOGICAL_QUALITY	NFE2
REGULATION_OF_BIOLOGICAL_QUALITY	MAFB
REGULATION_OF_BIOLOGICAL_QUALITY	ITGA2
REGULATION_OF_BIOLOGICAL_QUALITY	GCM2
REGULATION_OF_BIOLOGICAL_QUALITY	SLC4A11
REGULATION_OF_BIOLOGICAL_QUALITY	RHOT1
REGULATION_OF_BIOLOGICAL_QUALITY	RHOT2
REGULATION_OF_BIOLOGICAL_QUALITY	IFI6
REGULATION_OF_BIOLOGICAL_QUALITY	COPA
REGULATION_OF_BIOLOGICAL_QUALITY	CYP11B2
REGULATION_OF_BIOLOGICAL_QUALITY	HPS4
REGULATION_OF_BIOLOGICAL_QUALITY	CXCR3
REGULATION_OF_BIOLOGICAL_QUALITY	AKT1
REGULATION_OF_BIOLOGICAL_QUALITY	ACVR1B
REGULATION_OF_BIOLOGICAL_QUALITY	TPP1
REGULATION_OF_BIOLOGICAL_QUALITY	GSN
REGULATION_OF_BIOLOGICAL_QUALITY	CXCR4
REGULATION_OF_BIOLOGICAL_QUALITY	CCDC88C
REGULATION_OF_BIOLOGICAL_QUALITY	LDB1
REGULATION_OF_BIOLOGICAL_QUALITY	NOL8
REGULATION_OF_BIOLOGICAL_QUALITY	PROC
REGULATION_OF_BIOLOGICAL_QUALITY	ACVR2A
REGULATION_OF_BIOLOGICAL_QUALITY	GHRL
REGULATION_OF_BIOLOGICAL_QUALITY	MDM4
REGULATION_OF_BIOLOGICAL_QUALITY	PROS1
REGULATION_OF_BIOLOGICAL_QUALITY	GLRX2
REGULATION_OF_BIOLOGICAL_QUALITY	CALCA
REGULATION_OF_BIOLOGICAL_QUALITY	CALCB
REGULATION_OF_BIOLOGICAL_QUALITY	FAM107A
REGULATION_OF_BIOLOGICAL_QUALITY	CDK11A
REGULATION_OF_BIOLOGICAL_QUALITY	RASGRP4
REGULATION_OF_BIOLOGICAL_QUALITY	CDK11B
REGULATION_OF_BIOLOGICAL_QUALITY	SYN3
REGULATION_OF_BIOLOGICAL_QUALITY	GP1BA
REGULATION_OF_BIOLOGICAL_QUALITY	TNN
REGULATION_OF_BIOLOGICAL_QUALITY	ENO1
REGULATION_OF_BIOLOGICAL_QUALITY	PTPRC
REGULATION_OF_BIOLOGICAL_QUALITY	MTL5
REGULATION_OF_BIOLOGICAL_QUALITY	ISOC2
REGULATION_OF_BIOLOGICAL_QUALITY	RHAG
REGULATION_OF_BIOLOGICAL_QUALITY	VWF
REGULATION_OF_BIOLOGICAL_QUALITY	GPI
REGULATION_OF_BIOLOGICAL_QUALITY	HPX
REGULATION_OF_BIOLOGICAL_QUALITY	SLC5A7
REGULATION_OF_BIOLOGICAL_QUALITY	F2R
DNA_METABOLIC_PROCESS	XRCC5
DNA_METABOLIC_PROCESS	XRCC4
DNA_METABOLIC_PROCESS	RAD51C
DNA_METABOLIC_PROCESS	XRCC3
DNA_METABOLIC_PROCESS	XRCC2
DNA_METABOLIC_PROCESS	XRCC6
DNA_METABOLIC_PROCESS	ISG20
DNA_METABOLIC_PROCESS	PRIM1
DNA_METABOLIC_PROCESS	PRIM2
DNA_METABOLIC_PROCESS	TLK1
DNA_METABOLIC_PROCESS	TLK2
DNA_METABOLIC_PROCESS	POLL
DNA_METABOLIC_PROCESS	POLK
DNA_METABOLIC_PROCESS	GTPBP4
DNA_METABOLIC_PROCESS	POLI
DNA_METABOLIC_PROCESS	POLH
DNA_METABOLIC_PROCESS	POLG
